SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos,SalaryBaseSalary,SalaryCompensation,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Remarks
TFC,Roberts,Quillan,Quillan Roberts,GK,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
TFC,Welshman,Emery,Emery Welshman,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
VAN,Abdallah,Aminu,Aminu Abdallah,M,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
VAN,Clarke,Caleb,Caleb Clarke,F,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
VAN,Klazura,Greg,Greg Klazura,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
VAN,Mitchell,Carlyle,Carlyle Mitchell,D,46500.00,46500.00,"September 15, 2013",2013,September,September 2013,,
CHV,Alvarez,Carlos,Carlos Alvarez,M,46500.00,81500.00,"August 1, 2013",2013,August,August 2013,,
VAN,Hurtado,Erik,Erik Hurtado,F/M,46500.00,81500.00,"August 1, 2013",2013,August,August 2013,,
MTL,Smith,Blake,Blake Smith,M,46500.00,80250.00,"August 1, 2013",2013,August,August 2013,,
COL,Powers,Dillon,Dillon Powers,M,46500.00,79000.00,"August 1, 2013",2013,August,August 2013,,
RSL,Stertzer,John,John Stertzer,M,46500.00,75250.00,"August 1, 2013",2013,August,August 2013,,
CLB,Finley,Ryan,Ryan Finley,F,46500.00,74000.00,"August 1, 2013",2013,August,August 2013,,
TFC,Bekker,Kyle,Kyle Bekker,M,46500.00,72750.00,"August 1, 2013",2013,August,August 2013,,
FCD,Acosta,Kellyn,Kellyn Acosta,M,46500.00,70500.00,"August 1, 2013",2013,August,August 2013,,
FCD,Sanchez,Richard,Richard Sanchez,GK,46500.00,63500.00,"August 1, 2013",2013,August,August 2013,,
COL,Serna,Dillon,Dillon Serna,M,46500.00,59500.00,"August 1, 2013",2013,August,August 2013,,
COL,Armstrong,David,David Armstrong,M,46500.00,55964.00,"August 1, 2013",2013,August,August 2013,,
DC,Porter,Kyle,Kyle Porter,M,46500.00,54992.00,"August 1, 2013",2013,August,August 2013,,
NE,Caldwell,Scott,Scott Caldwell,M,46500.00,54000.00,"August 1, 2013",2013,August,August 2013,,
NYRB,Hartman,Kevin,Kevin Hartman,GK,46500.00,54000.00,"August 1, 2013",2013,August,August 2013,,
CHI,Pineda,Victor,Victor Pineda,M,46500.00,53242.00,"August 1, 2013",2013,August,August 2013,,
TFC,Agbossoumonde,Gale,Gale Agbossoumonde,D,46500.00,53167.00,"August 1, 2013",2013,August,August 2013,,
