SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos, SalaryBaseSalary , SalaryCompensation ,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Column2
NYRB,Palsson ,Victor ,Victor  Palsson ,M , $80Ê000.00 , $95Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
MTL,Thomas ,Shavar ,Shavar  Thomas ,D , $80Ê000.00 , $94Ê667.00 ,"August 1, 2012",2012,August,August 2012,,
FCD,Benitez ,Jair ,Jair  Benitez ,D , $80Ê000.00 , $80Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
FCD,Wiedeman ,Andrew ,Andrew  Wiedeman ,F , $80Ê000.00 , $123Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
NYRB,Palsson ,Victor ,Victor  Palsson ,M , $80Ê000.00 , $95Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
MTL,Thomas ,Shavar ,Shavar  Thomas ,D , $80Ê000.00 , $94Ê667.00 ,"May 15, 2012",2012,May,May 2012,,
FCD,Benitez ,Jair ,Jair  Benitez ,D , $80Ê000.00 , $80Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
CHV,Valentin ,Zarek ,Zarek  Valentin ,D , $80Ê000.00 , $132Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
FCD,Hall ,Jeremy ,Jeremy  Hall ,M , $80Ê000.00 , $129Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
TFC,Marosevic ,Peri ,Peri  Marosevic ,F , $80Ê000.00 , $129Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
HOU,Bruin ,Will ,Will  Bruin ,F , $80Ê000.00 , $125Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
PHI,MacMath ,Zac ,Zac  MacMath ,GK , $80Ê000.00 , $125Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
HOU,Cruz ,Danny ,Danny  Cruz ,M , $80Ê000.00 , $123Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
VAN,Salgado ,Omar ,Omar  Salgado ,F , $80Ê000.00 , $121Ê869.00 ,"January 9, 2011",2011,January,January 2011,,
POR,Johnson ,Eddie ,Eddie  Johnson ,F , $80Ê000.00 , $88Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
NE,Nyassi ,Sainey ,Sainey  Nyassi ,M , $80Ê000.00 , $86Ê750.00 ,"January 9, 2011",2011,January,January 2011,,
HOU,Ashe ,Corey ,Corey  Ashe ,M , $80Ê000.00 , $84Ê500.00 ,"January 9, 2011",2011,January,January 2011,,
COL,Marshall ,Tyrone ,Tyrone  Marshall ,D , $80Ê000.00 , $83Ê250.00 ,"January 9, 2011",2011,January,January 2011,,
HOU,Garey ,Jason ,Jason  Garey ,F , $80Ê000.00 , $81Ê250.00 ,"January 9, 2011",2011,January,January 2011,,
POR,Pore ,Ryan ,Ryan  Pore ,M , $80Ê000.00 , $80Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
